Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,8,Nou Barris,55,Ciutat Meridiana,50-54,27,25,2
2015,8,Nou Barris,56,Vallbona,50-54,2,0,2
2015,9,Sant Andreu,57,la Trinitat Vella,50-54,28,24,4
2015,9,Sant Andreu,58,Baró de Viver,50-54,5,3,2
2015,9,Sant Andreu,59,el Bon Pastor,50-54,35,15,20
2015,9,Sant Andreu,60,Sant Andreu,50-54,76,56,20
2015,9,Sant Andreu,61,la Sagrera,50-54,52,36,16
2015,9,Sant Andreu,62,el Congrés i els Indians,50-54,22,33,-11
2015,9,Sant Andreu,63,Navas,50-54,45,37,8
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,50-54,76,64,12
2015,10,Sant Martí,65,el Clot,50-54,51,41,10
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,50-54,30,20,10
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,50-54,24,16,8
2015,10,Sant Martí,68,el Poblenou,50-54,51,35,16
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,50-54,23,19,4
2015,10,Sant Martí,70,el Besòs i el Maresme,50-54,55,54,1
2015,10,Sant Martí,71,Provençals del Poblenou,50-54,31,34,-3
2015,10,Sant Martí,72,Sant Martí de Provençals,50-54,58,47,11
2015,10,Sant Martí,73,la Verneda i la Pau,50-54,55,46,9
2015,1,Ciutat Vella,1,el Raval,55-59,114,79,35
2015,1,Ciutat Vella,2,el Barri Gòtic,55-59,50,27,23
2015,1,Ciutat Vella,3,la Barceloneta,55-59,23,10,13
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55-59,50,38,12
2015,2,Eixample,5,el Fort Pienc,55-59,53,40,13
2015,2,Eixample,6,la Sagrada Família,55-59,81,63,18
2015,2,Eixample,7,la Dreta de l'Eixample,55-59,71,53,18
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,55-59,71,65,6
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,55-59,105,63,42
2015,2,Eixample,10,Sant Antoni,55-59,70,44,26
2015,3,Sants-Montjuïc,11,el Poble Sec,55-59,70,60,10
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,55-59,2,2,0
2015,3,Sants-Montjuïc,13,la Marina de Port,55-59,35,28,7
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,55-59,17,14,3
2015,3,Sants-Montjuïc,15,Hostafrancs,55-59,25,16,9
2015,3,Sants-Montjuïc,16,la Bordeta,55-59,26,16,10
2015,3,Sants-Montjuïc,17,Sants - Badal,55-59,41,37,4
2015,3,Sants-Montjuïc,18,Sants,55-59,61,64,-3
2015,4,Les Corts,19,les Corts,55-59,60,49,11
