Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,21.0,9h,Good,51.0,11h,Good,12.0,27/11/2018 12:00,1543316702
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,11.0,10h,Good,73.0,11h,Good,12.0,27/11/2018 12:00,1543316702
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,18.0,11h,Good,57.0,,,,27/11/2018 12:00,1543316702
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,48.0,11h,Good,17.0,11h,Good,7.0,27/11/2018 12:00,1543316702
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,40.0,11h,Good,22.0,11h,Good,10.0,27/11/2018 12:00,1543316702
Barcelona - Poblenou,--,2.2045,41.4039,,,,9h,--,,9h,--,,27/11/2018 12:00,1543316702
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,77.0,11h,Good,6.0,11h,Good,7.0,27/11/2018 12:00,1543316702
Barcelona - Sants,Good,2.1331,41.3788,,,,12h,Good,26.0,,,,27/11/2018 13:00,1543320302
Barcelona - Eixample,Good,2.1538,41.3853,10h,--,,10h,--,,12h,Good,12.0,27/11/2018 13:00,1543320302
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,11.0,10h,Good,73.0,12h,Good,12.0,27/11/2018 13:00,1543320302
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,21.0,12h,Good,50.0,,,,27/11/2018 13:00,1543320302
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,44.0,12h,Good,20.0,13h,Good,8.0,27/11/2018 13:00,1543320302
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,41.0,12h,Good,17.0,12h,Good,10.0,27/11/2018 13:00,1543320302
Barcelona - Poblenou,--,2.2045,41.4039,,,,10h,--,,10h,--,,27/11/2018 13:00,1543320302
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,68.0,12h,Good,10.0,12h,Good,7.0,27/11/2018 13:00,1543320302
Barcelona - Sants,Good,2.1331,41.3788,,,,13h,Good,18.0,,,,27/11/2018 14:00,1543323902
Barcelona - Eixample,Good,2.1538,41.3853,11h,--,,11h,--,,13h,Good,11.0,27/11/2018 14:00,1543323902
Barcelona - Gràcia,Good,2.1534,41.3987,11h,--,,11h,--,,13h,Good,11.0,27/11/2018 14:00,1543323902
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,33.0,13h,Good,41.0,,,,27/11/2018 14:00,1543323902
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,54.0,13h,Good,14.0,13h,Good,8.0,27/11/2018 14:00,1543323902
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,44.0,13h,Good,14.0,13h,Good,10.0,27/11/2018 14:00,1543323902
Barcelona - Poblenou,--,2.2045,41.4039,,,,11h,--,,11h,--,,27/11/2018 14:00,1543323902
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,71.0,13h,Good,7.0,13h,Good,7.0,27/11/2018 14:00,1543323902
Barcelona - Sants,Good,2.1331,41.3788,,,,14h,Good,17.0,,,,27/11/2018 15:00,1543327502
Barcelona - Eixample,Good,2.1538,41.3853,12h,--,,12h,--,,14h,Good,11.0,27/11/2018 15:00,1543327502
Barcelona - Gràcia,Good,2.1534,41.3987,12h,--,,12h,--,,14h,Good,11.0,27/11/2018 15:00,1543327502
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,44.0,14h,Good,23.0,,,,27/11/2018 15:00,1543327502
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,57.0,14h,Good,12.0,14h,Good,8.0,27/11/2018 15:00,1543327502
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,47.0,14h,Good,12.0,14h,Good,9.0,27/11/2018 15:00,1543327502
Barcelona - Poblenou,--,2.2045,41.4039,,,,12h,--,,12h,--,,27/11/2018 15:00,1543327502
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,71.0,14h,Good,7.0,14h,Good,7.0,27/11/2018 15:00,1543327502
Barcelona - Sants,Good,2.1331,41.3788,,,,15h,Good,20.0,,,,27/11/2018 16:00,1543331102
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,22.0,15h,Good,58.0,15h,Good,13.0,27/11/2018 16:00,1543331102
Barcelona - Gràcia,Good,2.1534,41.3987,15h,Good,31.0,15h,Good,42.0,15h,Good,13.0,27/11/2018 16:00,1543331102
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,38.0,15h,Good,29.0,,,,27/11/2018 16:00,1543331102
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,51.0,15h,Good,16.0,15h,Good,8.0,27/11/2018 16:00,1543331102
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,46.0,15h,Good,14.0,15h,Good,9.0,27/11/2018 16:00,1543331102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,15h,Good,21.0,13h,--,,27/11/2018 16:00,1543331102
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,69.0,15h,Good,9.0,15h,Good,7.0,27/11/2018 16:00,1543331102
Barcelona - Sants,Good,2.1331,41.3788,,,,16h,Good,20.0,,,,27/11/2018 17:00,1543334702
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,27.0,16h,Good,42.0,16h,Good,13.0,27/11/2018 17:00,1543334702
Barcelona - Gràcia,Good,2.1534,41.3987,16h,Good,38.0,16h,Good,32.0,16h,Good,13.0,27/11/2018 17:00,1543334702
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,39.0,16h,Good,32.0,,,,27/11/2018 17:00,1543334702
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,54.0,16h,Good,15.0,16h,Good,8.0,27/11/2018 17:00,1543334702
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,45.0,16h,Good,16.0,16h,Good,10.0,27/11/2018 17:00,1543334702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,16h,Good,36.0,14h,--,,27/11/2018 17:00,1543334702
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,70.0,16h,Good,8.0,16h,Good,8.0,27/11/2018 17:00,1543334702
Barcelona - Sants,Good,2.1331,41.3788,,,,17h,Good,26.0,,,,27/11/2018 18:00,1543338302
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,23.0,17h,Good,49.0,17h,Good,13.0,27/11/2018 18:00,1543338302
Barcelona - Gràcia,Good,2.1534,41.3987,17h,Good,26.0,17h,Good,46.0,17h,Good,14.0,27/11/2018 18:00,1543338302
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,34.0,17h,Good,39.0,,,,27/11/2018 18:00,1543338302
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,38.0,17h,Good,29.0,17h,Good,8.0,27/11/2018 18:00,1543338302
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,38.0,17h,Good,25.0,17h,Good,10.0,27/11/2018 18:00,1543338302
Barcelona - Poblenou,Good,2.2045,41.4039,,,,17h,Good,52.0,15h,--,,27/11/2018 18:00,1543338302
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,61.0,17h,Good,14.0,17h,Good,8.0,27/11/2018 18:00,1543338302
Barcelona - Sants,Good,2.1331,41.3788,,,,18h,Good,49.0,,,,27/11/2018 19:00,1543341901
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,12.0,18h,Good,61.0,18h,Good,13.0,27/11/2018 19:00,1543341901
Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,19.0,18h,Good,58.0,18h,Good,14.0,27/11/2018 19:00,1543341901
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,21.0,18h,Good,57.0,,,,27/11/2018 19:00,1543341901
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,35.0,18h,Good,35.0,18h,Good,8.0,27/11/2018 19:00,1543341901
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,24.0,18h,Good,44.0,18h,Good,10.0,27/11/2018 19:00,1543341901
Barcelona - Poblenou,Good,2.2045,41.4039,,,,18h,Good,64.0,17h,--,,27/11/2018 19:00,1543341901
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,61.0,18h,Good,16.0,18h,Good,8.0,27/11/2018 19:00,1543341901
Barcelona - Sants,Good,2.1331,41.3788,,,,19h,Good,61.0,,,,27/11/2018 20:00,1543345502
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,12.0,19h,Good,62.0,19h,Good,13.0,27/11/2018 20:00,1543345502
Barcelona - Gràcia,Good,2.1534,41.3987,19h,Good,15.0,19h,Good,60.0,19h,Good,14.0,27/11/2018 20:00,1543345502
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,17.0,19h,Good,59.0,,,,27/11/2018 20:00,1543345502
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,36.0,19h,Good,36.0,19h,Good,7.0,27/11/2018 20:00,1543345502
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,12.0,19h,Good,60.0,19h,Good,10.0,27/11/2018 20:00,1543345502
Barcelona - Poblenou,Good,2.2045,41.4039,,,,19h,Good,74.0,17h,--,,27/11/2018 20:00,1543345502
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,58.0,19h,Good,21.0,19h,Good,8.0,27/11/2018 20:00,1543345502
Barcelona - Sants,Good,2.1331,41.3788,,,,20h,Good,61.0,,,,27/11/2018 21:00,1543349102
Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,3.0,20h,Good,74.0,20h,Good,14.0,27/11/2018 21:00,1543349102
Barcelona - Gràcia,Good,2.1534,41.3987,20h,Good,10.0,20h,Good,66.0,20h,Good,14.0,27/11/2018 21:00,1543349102
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,6.0,20h,Good,64.0,,,,27/11/2018 21:00,1543349102
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,18.0,20h,Good,50.0,20h,Good,7.0,27/11/2018 21:00,1543349102
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,1.0,20h,Good,78.0,20h,Good,10.0,27/11/2018 21:00,1543349102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,20h,Good,88.0,18h,--,,27/11/2018 21:00,1543349102
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,58.0,20h,Good,20.0,20h,Good,8.0,27/11/2018 21:00,1543349102
Barcelona - Sants,Good,2.1331,41.3788,,,,21h,Good,73.0,,,,27/11/2018 22:00,1543352703
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,2.0,21h,Good,90.0,21h,Good,14.0,27/11/2018 22:00,1543352703
Barcelona - Gràcia,Good,2.1534,41.3987,21h,Good,2.0,21h,Good,82.0,21h,Good,15.0,27/11/2018 22:00,1543352703
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,2.0,21h,Good,67.0,,,,27/11/2018 22:00,1543352703
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,7.0,21h,Good,63.0,21h,Good,8.0,27/11/2018 22:00,1543352703
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,2.0,21h,Good,66.0,21h,Good,11.0,27/11/2018 22:00,1543352703
Barcelona - Poblenou,Moderate,2.2045,41.4039,,,,21h,Moderate,97.0,19h,--,,27/11/2018 22:00,1543352703
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,60.0,21h,Good,17.0,21h,Good,8.0,27/11/2018 22:00,1543352703
Barcelona - Sants,Good,2.1331,41.3788,,,,22h,Good,66.0,,,,27/11/2018 23:00,1543356301
Barcelona - Eixample,Good,2.1538,41.3853,22h,Good,3.0,22h,Good,89.0,22h,Good,15.0,27/11/2018 23:00,1543356301
Barcelona - Gràcia,Good,2.1534,41.3987,22h,Good,2.0,22h,Good,75.0,22h,Good,15.0,27/11/2018 23:00,1543356301
Barcelona - Ciutadella,Good,2.1874,41.3864,22h,Good,2.0,22h,Good,68.0,,,,27/11/2018 23:00,1543356301
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,7.0,22h,Good,57.0,22h,Good,8.0,27/11/2018 23:00,1543356301
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,11.0,22h,Good,50.0,22h,Good,11.0,27/11/2018 23:00,1543356301
Barcelona - Poblenou,Good,2.2045,41.4039,,,,22h,Good,75.0,20h,--,,27/11/2018 23:00,1543356301
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,51.0,22h,Good,24.0,22h,Good,8.0,27/11/2018 23:00,1543356301
Barcelona - Sants,Good,2.1331,41.3788,,,,23h,Good,67.0,,,,28/11/2018 0:00,1543359901
Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,2.0,23h,Good,82.0,23h,Good,17.0,28/11/2018 0:00,1543359901
Barcelona - Gràcia,Good,2.1534,41.3987,23h,Good,1.0,23h,Good,72.0,23h,Good,16.0,28/11/2018 0:00,1543359901
Barcelona - Ciutadella,Good,2.1874,41.3864,23h,Good,2.0,23h,Good,67.0,,,,28/11/2018 0:00,1543359901
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,4.0,23h,Good,59.0,23h,Good,9.0,28/11/2018 0:00,1543359901
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,5.0,23h,Good,52.0,23h,Good,11.0,28/11/2018 0:00,1543359901
Barcelona - Poblenou,Good,2.2045,41.4039,,,,23h,Good,70.0,21h,--,,28/11/2018 0:00,1543359901
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,66.0,23h,Good,8.0,23h,Good,8.0,28/11/2018 0:00,1543359901
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,62.0,,,,28/11/2018 1:00,1543363502
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,2.0,0h,Good,79.0,0h,Good,18.0,28/11/2018 1:00,1543363502
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,2.0,0h,Good,64.0,0h,Good,16.0,28/11/2018 1:00,1543363502
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2.0,0h,Good,67.0,,,,28/11/2018 1:00,1543363502
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,5.0,0h,Good,52.0,0h,Good,9.0,28/11/2018 1:00,1543363502
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,3.0,0h,Good,50.0,0h,Good,12.0,28/11/2018 1:00,1543363502
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,62.0,22h,--,,28/11/2018 1:00,1543363502
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,72.0,0h,Good,4.0,0h,Good,8.0,28/11/2018 1:00,1543363502
Barcelona - Sants,Good,2.1331,41.3788,,,,1h,Good,59.0,,,,28/11/2018 2:00,1543367102
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,3.0,1h,Good,71.0,1h,Good,19.0,28/11/2018 2:00,1543367102
Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,9.0,1h,Good,48.0,1h,Good,17.0,28/11/2018 2:00,1543367102
Barcelona - Ciutadella,Good,2.1874,41.3864,23h,Good,2.0,23h,Good,67.0,,,,28/11/2018 2:00,1543367102
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,16.0,1h,Good,40.0,1h,Good,9.0,28/11/2018 2:00,1543367102
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,3.0,1h,Good,47.0,1h,Good,12.0,28/11/2018 2:00,1543367102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,1h,Good,54.0,23h,--,,28/11/2018 2:00,1543367102
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,72.0,1h,Good,4.0,1h,Good,8.0,28/11/2018 2:00,1543367102
Barcelona - Sants,Good,2.1331,41.3788,,,,2h,Good,54.0,,,,28/11/2018 3:00,1543370702
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,6.0,2h,Good,52.0,2h,Good,19.0,28/11/2018 3:00,1543370702
Barcelona - Gràcia,Good,2.1534,41.3987,2h,Good,16.0,2h,Good,36.0,2h,Good,17.0,28/11/2018 3:00,1543370702
Barcelona - Ciutadella,--,2.1874,41.3864,0h,--,,0h,--,,,,,28/11/2018 3:00,1543370702
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,32.0,2h,Good,22.0,2h,Good,9.0,28/11/2018 3:00,1543370702
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,8.0,2h,Good,37.0,2h,Good,12.0,28/11/2018 3:00,1543370702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,2h,Good,50.0,0h,--,,28/11/2018 3:00,1543370702
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,71.0,2h,Good,5.0,2h,Good,8.0,28/11/2018 3:00,1543370702
Barcelona - Sants,Good,2.1331,41.3788,,,,3h,Good,48.0,,,,28/11/2018 4:00,1543374302
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,4.0,3h,Good,54.0,3h,Good,20.0,28/11/2018 4:00,1543374302
Barcelona - Gràcia,Good,2.1534,41.3987,3h,Good,18.0,3h,Good,34.0,3h,Good,17.0,28/11/2018 4:00,1543374302
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,10.0,3h,Good,43.0,,,,28/11/2018 4:00,1543374302
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,35.0,3h,Good,17.0,3h,Good,10.0,28/11/2018 4:00,1543374302
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,20.0,3h,Good,22.0,3h,Good,12.0,28/11/2018 4:00,1543374302
Barcelona - Poblenou,Good,2.2045,41.4039,,,,3h,Good,46.0,1h,--,,28/11/2018 4:00,1543374302
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,68.0,3h,Good,6.0,3h,Good,8.0,28/11/2018 4:00,1543374302
Barcelona - Sants,Good,2.1331,41.3788,,,,4h,Good,49.0,,,,28/11/2018 5:00,1543377902
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,2.0,4h,Good,54.0,4h,Good,20.0,28/11/2018 5:00,1543377902
Barcelona - Gràcia,Good,2.1534,41.3987,4h,Good,18.0,4h,Good,32.0,4h,Good,17.0,28/11/2018 5:00,1543377902
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,10.0,4h,Good,43.0,,,,28/11/2018 5:00,1543377902
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,30.0,4h,Good,19.0,4h,Good,10.0,28/11/2018 5:00,1543377902
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,27.0,4h,Good,18.0,4h,Good,12.0,28/11/2018 5:00,1543377902
Barcelona - Poblenou,Good,2.2045,41.4039,,,,4h,Good,43.0,2h,--,,28/11/2018 5:00,1543377902
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,72.0,4h,Good,4.0,4h,Good,9.0,28/11/2018 5:00,1543377902
Barcelona - Sants,Good,2.1331,41.3788,,,,5h,Good,46.0,,,,28/11/2018 6:00,1543381502
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,2.0,5h,Good,52.0,5h,Good,20.0,28/11/2018 6:00,1543381502
Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,13.0,5h,Good,40.0,5h,Good,18.0,28/11/2018 6:00,1543381502
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,4.0,5h,Good,48.0,,,,28/11/2018 6:00,1543381502
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,22.0,5h,Good,28.0,5h,Good,10.0,28/11/2018 6:00,1543381502
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,33.0,5h,Good,13.0,5h,Good,12.0,28/11/2018 6:00,1543381502
Barcelona - Poblenou,Good,2.2045,41.4039,,,,5h,Good,40.0,3h,--,,28/11/2018 6:00,1543381502
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,74.0,5h,Good,3.0,5h,Good,9.0,28/11/2018 6:00,1543381502
Barcelona - Sants,Good,2.1331,41.3788,,,,6h,Good,29.0,,,,28/11/2018 7:00,1543385102
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,2.0,6h,Good,59.0,6h,Good,21.0,28/11/2018 7:00,1543385102
Barcelona - Gràcia,Good,2.1534,41.3987,6h,Good,17.0,6h,Good,36.0,6h,Good,18.0,28/11/2018 7:00,1543385102
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,3.0,6h,Good,48.0,,,,28/11/2018 7:00,1543385102
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,22.0,6h,Good,30.0,6h,Good,11.0,28/11/2018 7:00,1543385102
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,24.0,6h,Good,22.0,6h,Good,12.0,28/11/2018 7:00,1543385102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,6h,Good,39.0,,,,28/11/2018 7:00,1543385102
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,72.0,6h,Good,4.0,6h,Good,9.0,28/11/2018 7:00,1543385102
Barcelona - Sants,Good,2.1331,41.3788,,,,7h,Good,39.0,,,,28/11/2018 8:00,1543388702
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,2.0,7h,Good,77.0,7h,Good,21.0,28/11/2018 8:00,1543388702
Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,9.0,7h,Good,51.0,7h,Good,18.0,28/11/2018 8:00,1543388702
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,2.0,7h,Good,44.0,,,,28/11/2018 8:00,1543388702
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,29.0,7h,Good,28.0,7h,Good,11.0,28/11/2018 8:00,1543388702
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,4.0,7h,Good,47.0,7h,Good,12.0,28/11/2018 8:00,1543388702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,7h,Good,42.0,,,,28/11/2018 8:00,1543388702
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,74.0,7h,Good,3.0,7h,Good,9.0,28/11/2018 8:00,1543388702
Barcelona - Sants,Good,2.1331,41.3788,,,,8h,Good,52.0,,,,28/11/2018 9:00,1543392301
Barcelona - Eixample,Moderate,2.1538,41.3853,8h,Good,2.0,8h,Moderate,101.0,8h,Good,23.0,28/11/2018 9:00,1543392301
Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,9.0,8h,Good,58.0,8h,Good,18.0,28/11/2018 9:00,1543392301
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,2.0,8h,Good,52.0,,,,28/11/2018 9:00,1543392301
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,20.0,8h,Good,39.0,8h,Good,12.0,28/11/2018 9:00,1543392301
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,28.0,8h,Good,31.0,8h,Good,12.0,28/11/2018 9:00,1543392301
Barcelona - Poblenou,Good,2.2045,41.4039,,,,8h,Good,49.0,8h,Good,26.0,28/11/2018 9:00,1543392301
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,71.0,8h,Good,5.0,8h,Good,8.0,28/11/2018 9:00,1543392301
Barcelona - Sants,Good,2.1331,41.3788,,,,9h,Good,58.0,,,,28/11/2018 10:00,1543395901
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,3.0,9h,Good,71.0,9h,Good,23.0,28/11/2018 10:00,1543395901
Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,3.0,9h,Good,68.0,9h,Good,19.0,28/11/2018 10:00,1543395901
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,3.0,9h,Good,70.0,,,,28/11/2018 10:00,1543395901
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,24.0,9h,Good,33.0,9h,Good,12.0,28/11/2018 10:00,1543395901
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,14.0,9h,Good,51.0,9h,Good,13.0,28/11/2018 10:00,1543395901
Barcelona - Poblenou,Good,2.2045,41.4039,,,,9h,Good,58.0,9h,Good,26.0,28/11/2018 10:00,1543395901
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,76.0,9h,Good,4.0,9h,Good,8.0,28/11/2018 10:00,1543395901
Barcelona - Sants,Good,2.1331,41.3788,,,,10h,Good,38.0,,,,28/11/2018 11:00,1543399501
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,10.0,10h,Good,62.0,10h,Good,23.0,28/11/2018 11:00,1543399501
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,18.0,10h,Good,50.0,10h,Good,19.0,28/11/2018 11:00,1543399501
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,12.0,10h,Good,66.0,,,,28/11/2018 11:00,1543399501
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,36.0,10h,Good,28.0,10h,Good,12.0,28/11/2018 11:00,1543399501
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,39.0,10h,Good,19.0,10h,Good,13.0,28/11/2018 11:00,1543399501
Barcelona - Poblenou,Good,2.2045,41.4039,,,,10h,Good,58.0,10h,Good,26.0,28/11/2018 11:00,1543399501
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,67.0,10h,Good,6.0,10h,Good,9.0,28/11/2018 11:00,1543399501
Barcelona - Sants,Good,2.1331,41.3788,,,,11h,Good,23.0,,,,28/11/2018 12:00,1543403102
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,16.0,11h,Good,53.0,11h,Good,24.0,28/11/2018 12:00,1543403102
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,18.0,10h,Good,50.0,11h,Good,18.0,28/11/2018 12:00,1543403102
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,34.0,11h,Good,34.0,,,,28/11/2018 12:00,1543403102
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,45.0,11h,Good,15.0,11h,Good,12.0,28/11/2018 12:00,1543403102
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,45.0,11h,Good,13.0,11h,Good,13.0,28/11/2018 12:00,1543403102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,11h,Good,38.0,11h,Good,26.0,28/11/2018 12:00,1543403102
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,68.0,11h,Good,6.0,11h,Good,9.0,28/11/2018 12:00,1543403102
Barcelona - Sants,Good,2.1331,41.3788,,,,12h,Good,20.0,,,,28/11/2018 13:00,1543406702
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,26.0,12h,Good,39.0,12h,Good,24.0,28/11/2018 13:00,1543406702
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,18.0,10h,Good,50.0,12h,Good,18.0,28/11/2018 13:00,1543406702
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,34.0,11h,Good,34.0,,,,28/11/2018 13:00,1543406702
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,43.0,12h,Good,19.0,12h,Good,11.0,28/11/2018 13:00,1543406702
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,43.0,12h,Good,15.0,12h,Good,13.0,28/11/2018 13:00,1543406702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,12h,Good,43.0,12h,Good,26.0,28/11/2018 13:00,1543406702
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,72.0,12h,Good,5.0,12h,Good,9.0,28/11/2018 13:00,1543406702
