District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Tuesday,November,28,10,Morning,2,0,2,2,2.16898,41.389618
Eixample,la Dreta de l'Eixample,Sant Pere                                         ,Wednesday,May,31,9,Morning,1,0,1,2,2.171202,41.388218
Eixample,la Dreta de l'Eixample,Urquinaona / Sant Pere                            ,Wednesday,November,22,18,Afternoon,1,0,1,2,2.1723,41.388801
Eixample,la Dreta de l'Eixample,CONSELL DE CENT / Roger de Flor                   ,Friday,January,27,21,Afternoon,1,0,1,2,2.174308,41.397552
Eixample,la Dreta de l'Eixample,Universitat                                       ,Monday,December,4,21,Afternoon,1,0,1,2,2.165475,41.386073
Eixample,la Dreta de l'Eixample,PAU CLARIS / Casp                                 ,Thursday,February,9,10,Morning,2,0,2,2,2.171146,41.389691
Eixample,la Dreta de l'Eixample,Universitat                                       ,Wednesday,November,29,9,Morning,1,0,1,2,2.166412,41.386746
Eixample,la Dreta de l'Eixample,Corts Catalanes / Girona                          ,Tuesday,June,13,18,Afternoon,0,0,0,2,2.173277,41.393182
Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Tuesday,May,2,16,Afternoon,0,0,0,3,2.171191,41.391947
Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Tuesday,June,6,14,Afternoon,1,0,1,2,2.17284,41.393185
Eixample,la Dreta de l'Eixample,GV CORTS CATALANES                                ,Wednesday,March,1,14,Afternoon,1,0,1,2,2.167544,41.389205
Eixample,la Dreta de l'Eixample,PG SANT JOAN / Aragó                              ,Saturday,March,25,19,Afternoon,3,0,3,2,2.172037,41.397542
Eixample,la Dreta de l'Eixample,Sant Joan                                         ,Tuesday,June,27,17,Afternoon,1,0,1,1,2.173042,41.397111
Eixample,la Dreta de l'Eixample,Sant Joan / Consell de Cent                       ,Saturday,May,13,2,Night,2,0,2,1,2.173171,41.396686
Eixample,la Dreta de l'Eixample,Corts Catalanes / Roger de Llúria                 ,Tuesday,August,15,10,Morning,1,0,1,2,2.170988,41.391485
Eixample,la Dreta de l'Eixample,Corts Catalanes / Roger de Llúria                 ,Sunday,April,30,9,Morning,1,0,1,4,2.170988,41.391485
Eixample,la Dreta de l'Eixample,Corts Catalanes / Roger de Llúria                 ,Friday,April,7,8,Morning,1,0,1,2,2.170988,41.391485
Eixample,la Dreta de l'Eixample,Roger de Llúria / Corts Catalanes                 ,Friday,June,23,16,Afternoon,1,0,1,2,2.170988,41.391485
Eixample,el Fort Pienc,GV CORTS CATALANES / Sicília                      ,Thursday,February,23,12,Morning,1,0,1,2,2.178932,41.397435
Eixample,el Fort Pienc,Lepant / Alí Bei                                  ,Tuesday,October,24,16,Afternoon,1,0,1,2,2.185955,41.397391
Eixample,el Fort Pienc,GV CORTS CATALANES                                ,Monday,February,27,14,Afternoon,3,0,3,2,2.182376,41.39968
Eixample,el Fort Pienc,Ausiàs Marc / Marina                              ,Monday,November,27,9,Morning,1,0,1,2,2.183568,41.397287
Eixample,el Fort Pienc,MARINA / GV Corts Catalanes                       ,Friday,March,24,18,Afternoon,2,0,2,2,2.181199,41.399111
Eixample,el Fort Pienc,Corts Catalanes                                   ,Wednesday,May,31,13,Morning,2,0,2,1,2.183102,41.400226
Eixample,el Fort Pienc,Aragó / Diagonal                                  ,Saturday,July,22,22,Night,1,0,1,2,2.175428,41.400076
Sants-Montjuïc,el Poble-sec,Rius i Taulet / Lleida                            ,Tuesday,April,4,17,Afternoon,1,0,1,2,2.155181,41.372876
Sants-Montjuïc,el Poble-sec,Tamarit                                           ,Tuesday,September,12,9,Morning,3,0,3,3,2.155057,41.374342
Sants-Montjuïc,el Poble-sec,LLEIDA                                            ,Tuesday,February,28,14,Afternoon,0,0,0,2,2.154807,41.373292
Eixample,el Fort Pienc,Corts Catalanes                                   ,Friday,June,2,19,Afternoon,1,0,1,2,2.189613,41.405098
Eixample,el Fort Pienc,Corts Catalanes                                   ,Sunday,May,21,15,Afternoon,1,0,1,2,2.180584,41.39834
Eixample,el Fort Pienc,Meridiana / Alí Bei                               ,Friday,April,21,18,Afternoon,1,0,1,2,2.186939,41.39814
Eixample,el Fort Pienc,Casp / Sicília                                    ,Saturday,July,22,0,Night,2,0,2,2,2.180201,41.396482
Eixample,el Fort Pienc,PADILLA / GV Corts Catalanes                      ,Saturday,March,11,12,Morning,1,0,1,2,2.18351,41.400877
Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,Friday,March,17,14,Afternoon,1,0,1,2,2.184624,41.401695
Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,Thursday,January,26,19,Afternoon,2,0,2,2,2.184624,41.401695
Eixample,el Fort Pienc,TÀNGER / Av Meridiana                             ,Thursday,January,12,15,Afternoon,1,0,1,2,2.186922,41.398393
Eixample,el Fort Pienc,Marina / Consell de Cent                          ,Thursday,June,22,16,Afternoon,1,0,1,2,2.178829,41.400958
Eixample,el Fort Pienc,Castillejos                                       ,Saturday,May,20,9,Morning,1,0,1,3,2.184198,41.402144
Eixample,el Fort Pienc,Diputació / Lepant                                ,Tuesday,October,31,19,Afternoon,2,0,2,2,2.181176,41.400999
Eixample,el Fort Pienc,Corts Catalanes / Nàpols                          ,Friday,June,9,14,Afternoon,2,0,2,2,2.17782,41.396589
Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,Sunday,January,1,10,Morning,2,0,2,2,2.184624,41.401695
Eixample,el Fort Pienc,Corts Catalanes                                   ,Tuesday,October,24,11,Morning,1,0,1,2,2.182474,41.40042
Sants-Montjuïc,el Poble-sec,Bòbila                                            ,Thursday,November,30,10,Morning,0,0,0,1,2.158417,41.373294
Eixample,el Fort Pienc,Tetuan                                            ,Friday,September,8,0,Night,1,0,1,2,2.176439,41.395129
Eixample,el Fort Pienc,Casp                                              ,Tuesday,July,11,19,Afternoon,1,0,1,2,2.180715,41.39702
Eixample,el Fort Pienc,PADILLA / GV Corts Catalanes                      ,Wednesday,March,8,14,Afternoon,2,0,2,2,2.18351,41.400877
Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,Thursday,March,9,21,Afternoon,1,0,1,2,2.184624,41.401695
Eixample,el Fort Pienc,PG SANT JOAN / Casp                               ,Sunday,March,5,15,Afternoon,1,0,1,2,2.176807,41.393927
Eixample,el Fort Pienc,Corts Catalanes / Sicília                         ,Monday,May,29,21,Afternoon,2,0,2,2,2.178932,41.397435
Eixample,el Fort Pienc,Sardenya / Corts Catalanes                        ,Monday,May,8,23,Night,1,0,1,3,2.180078,41.398285
Eixample,el Fort Pienc,GV CORTS CATALANES / Nàpols                       ,Friday,February,17,14,Afternoon,1,0,1,2,2.17782,41.396589
Eixample,el Fort Pienc,Sardenya / Diputació                              ,Tuesday,November,14,15,Afternoon,2,0,2,1,2.178844,41.399225
Eixample,el Fort Pienc,Diputació / Sardenya                              ,Friday,September,22,10,Morning,1,0,1,2,2.178844,41.399225
Eixample,el Fort Pienc,Sicília                                           ,Friday,July,7,16,Afternoon,1,0,1,2,2.179812,41.396644
Eixample,el Fort Pienc,Corts Catalanes                                   ,Monday,June,26,20,Afternoon,1,0,1,2,2.18055,41.398972
Eixample,el Fort Pienc,Alí Bei / Nàpols                                  ,Thursday,October,19,17,Afternoon,1,0,1,1,2.181339,41.393924
Eixample,el Fort Pienc,Marina / Corts Catalanes                          ,Thursday,August,10,12,Morning,1,0,1,1,2.181199,41.399111
Eixample,el Fort Pienc,GV CORTS CATALANES / Marina                       ,Saturday,March,4,4,Night,2,0,2,1,2.181199,41.399111
Eixample,el Fort Pienc,Corts Catalanes / Marina                          ,Tuesday,April,18,8,Morning,1,0,1,2,2.181199,41.399111
Eixample,el Fort Pienc,Aragó / Nàpols                                    ,Saturday,April,29,14,Afternoon,2,0,2,2,2.174292,41.399253
Eixample,la Sagrada Família,Rosselló / Padilla                                ,Tuesday,September,12,9,Morning,2,0,2,2,2.175501,41.406961
Eixample,la Sagrada Família,Rosselló                                          ,Thursday,August,3,20,Afternoon,1,0,1,2,2.177132,41.408048
Eixample,la Sagrada Família,Mallorca / Nàpols                                 ,Tuesday,October,3,15,Afternoon,1,0,1,1,2.172039,41.400953
Eixample,la Sagrada Família,SICÍLIA / Mallorca                                ,Tuesday,January,3,15,Afternoon,1,0,1,2,2.173169,41.401797
Eixample,la Sagrada Família,Indústria / Marina                                ,Wednesday,October,4,20,Afternoon,2,0,2,2,2.171078,41.407049
Eixample,la Sagrada Família,Lepant / Còrsega                                  ,Monday,June,19,13,Morning,8,0,8,2,2.173249,41.407026
Eixample,la Sagrada Família,MALLORCA                                          ,Tuesday,February,28,12,Morning,1,0,1,2,2.176216,41.403951
Eixample,la Sagrada Família,MARINA                                            ,Thursday,January,26,8,Morning,1,0,1,2,2.173914,41.404755
Eixample,la Sagrada Família,Diagonal / València                               ,Friday,April,21,14,Afternoon,1,0,1,1,2.17317,41.400095
Eixample,la Sagrada Família,Indústria / Castillejos                           ,Thursday,May,18,15,Afternoon,1,0,1,1,2.174358,41.409499
Eixample,la Sagrada Família,PROVENÇA                                          ,Thursday,March,23,22,Night,1,0,1,3,2.173807,41.404125
Eixample,la Sagrada Família,CASTILLEJOS / Còrsega                             ,Saturday,March,11,14,Afternoon,2,0,2,2,2.175459,41.408657
Eixample,el Fort Pienc,Sardenya                                          ,Monday,October,16,9,Morning,1,0,1,2,2.184817,41.394565
Eixample,la Sagrada Família,Aragó / Marina                                    ,Wednesday,December,6,16,Afternoon,2,0,2,2,2.17783,41.401877
Eixample,la Sagrada Família,València                                          ,Saturday,November,25,14,Afternoon,1,0,1,2,2.177208,41.403274
Eixample,la Sagrada Família,València / Lepant                                 ,Monday,July,10,9,Morning,2,0,2,2,2.177825,41.403574
Eixample,la Sagrada Família,Marina / Aragó                                    ,Saturday,July,15,10,Morning,1,0,1,2,2.17783,41.401877
Eixample,la Sagrada Família,VALÈNCIA                                          ,Tuesday,February,7,8,Morning,2,0,2,5,2.173666,41.400619
Eixample,la Sagrada Família,Sant Antoni Maria Claret / Cartagena              ,Tuesday,July,11,11,Morning,2,0,2,2,2.174331,41.411182
Eixample,la Sagrada Família,LEPANT / Còrsega                                  ,Wednesday,March,1,9,Morning,1,0,1,2,2.173249,41.407026
Eixample,la Sagrada Família,Castillejos / Indústria                           ,Wednesday,November,15,17,Afternoon,1,0,1,2,2.174358,41.409499
Eixample,la Sagrada Família,Lepant                                            ,Thursday,June,1,21,Afternoon,0,0,0,2,2.1747,41.406137
Eixample,la Sagrada Família,Lepant / Mallorca                                 ,Thursday,May,4,10,Morning,5,0,5,2,2.176692,41.40444
Eixample,la Sagrada Família,València / Marina                                 ,Thursday,August,10,15,Afternoon,1,0,1,2,2.176709,41.402757
Eixample,la Sagrada Família,CASTILLEJOS / Indústria                           ,Friday,February,10,11,Morning,1,0,1,2,2.174358,41.409499
Eixample,la Sagrada Família,Padilla / Sant Antoni Maria Claret                ,Friday,May,12,14,Afternoon,1,0,1,2,2.172104,41.409544
Eixample,la Sagrada Família,Còrsega                                           ,Saturday,June,17,19,Afternoon,1,0,1,2,2.174664,41.407933
Eixample,la Sagrada Família,Diagonal / Sicília                                ,Monday,June,19,8,Morning,2,0,2,2,2.175428,41.400076
Eixample,la Sagrada Família,Padilla / Canadell                                ,Wednesday,July,26,10,Morning,0,0,0,1,2.174839,41.407468
Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / A Zona Franca              ,Friday,November,17,13,Morning,1,0,1,1,2.138671,41.332974
Sants-Montjuïc,el Poble-sec,Margarit / Magalhães                              ,Monday,September,18,19,Afternoon,1,0,1,2,2.163065,41.372199
Sants-Montjuïc,el Poble-sec,PG PAVELLÓ ALBÉNIZ / Av Estadi                    ,Sunday,February,5,3,Night,0,0,0,1,2.145197,41.366148
Sants-Montjuïc,el Poble-sec,Carlos Ibáñez                                     ,Tuesday,April,4,8,Morning,0,0,0,1,2.171012,41.370796
Sants-Montjuïc,el Poble-sec,AV PARAL·LEL                                      ,Tuesday,February,28,14,Afternoon,1,0,1,2,2.152588,41.374777
Sants-Montjuïc,el Poble-sec,Miramar                                           ,Wednesday,September,20,18,Afternoon,1,0,1,1,2.163375,41.369084
Sants-Montjuïc,el Poble-sec,Estadi                                            ,Thursday,December,21,20,Afternoon,1,0,1,2,2.148742,41.366033
